trajectory_id,task_id,family,representation,variant,task_text,reference_solution,base_token_count,token_count,analysis_token_count,special_token_events,special_token_fraction,trajectory_valid,mean_entropy_top20,median_entropy_top20,std_entropy_top20,cumulative_entropy_top20,mean_entropy_full,median_entropy_full,std_entropy_full,cumulative_entropy_full,mean_p1,median_p1,mean_top20_mass,fraction_p1_ge_090,fraction_p1_ge_099,longest_run_p1_ge_090,longest_run_p1_ge_099,mean_abs_entropy_change_top20,mean_abs_entropy_change_full,reference_in_top20_fraction,mean_reference_surprisal
binary_search_exact__python__v2,binary_search_exact,binary_search,python,2,"Given an ascending sorted list and a target value, return the target index or minus one if absent.","def binary_search_exact(counter, output):
    value = 0
    item = len(counter) - 1
    while value <= item:
        current = (value + item) // 2
        if counter[current] == output:
            return current
        if counter[current] < output:
            value = current + 1
        else:
            item = current - 1
    return -1",24,85,84,0,0.0,True,0.1917872374694222,0.01763899251818657,0.3754279381980652,16.110127947431465,0.20197087021343968,0.017995702102780342,0.3995888900673717,16.965553097928932,0.9369264241485369,0.9977549016475677,0.9989376877035413,0.8571428571428571,0.6190476190476191,53,13,0.26573444033875787,0.2815699911074459,0.9166666666666666,1.3078077713322283
partition_by_sign__nl__v2,partition_by_sign,partition,nl,2,"Given a list of numbers, return two lists: negative values first and nonnegative values second, preserving input order within each group.",Build an empty negative list and an empty nonnegative list. Inspect each number and add it to the appropriate list according to its sign. Output both lists.,30,32,31,0,0.0,True,0.41861081303068204,0.19766657054424286,0.4585719598529824,12.976935203951143,0.44232993587220626,0.19903722405433655,0.5038685569394132,13.712228012038395,0.86297204033021,0.9669957756996155,0.9973715909065739,0.6451612903225806,0.3225806451612903,5,4,0.5776947377050722,0.6211286274250597,0.9354838709677419,2.089920220340871
gcd_two__nl__v2,gcd_two,gcd_family,nl,2,"Given two nonnegative integers, compute their greatest common divisor using the Euclidean algorithm.","While the second value is not zero, replace the pair with the second value and the remainder of the first divided by the second. Output the first value when the second becomes zero.",21,36,35,0,0.0,True,0.26437740523303677,0.061741456389427185,0.38245048745549715,9.253209183156287,0.2732454804850152,0.06347163021564484,0.4093302833492529,9.563591816975531,0.9122356227466039,0.9901031851768494,0.9989182114601135,0.7428571428571429,0.5142857142857142,7,7,0.3831210074069317,0.3984788552220647,0.9714285714285714,1.8347264053864267
is_subset__python__v3,is_subset,set_relation,python,3,"Given two collections, determine whether every value in the first collection occurs in the second.","def is_subset(element, entry):
    for x in element:
        if x not in entry:
            return False
    return True",21,27,26,0,0.0,True,0.2913532938209056,0.013071954250335693,0.4754266072970625,7.575185639343545,0.31084863609318675,0.01337453257292509,0.5143829529390588,8.082064538422856,0.9133309011275952,0.9983526170253754,0.9978217345017654,0.7692307692307693,0.6153846153846154,15,10,0.3239806278303149,0.3538547077367548,0.9230769230769231,1.5204800924947746
matrix_find_position__nl__v2,matrix_find_position,matrix_search,nl,2,"Given a matrix and a target value, return the row and column of the first occurrence in row-major order, or minus one for both if absent.","Scan rows from top to bottom and columns from left to right. If a value equals the target, output its row and column indices. If no match exists, output minus one for both indices.",34,39,38,0,0.0,True,0.5540982153089364,0.43869878351688385,0.5208857626454811,21.055732181739586,0.564920175761807,0.4415457397699356,0.5331448474142823,21.466966678948666,0.8111445919463509,0.8887006938457489,0.9989252670815116,0.47368421052631576,0.2894736842105263,4,3,0.5033148487371462,0.5154499814517614,1.0,1.4645370056818927
fibonacci_nth__python__v3,fibonacci_nth,fibonacci,python,3,"Given a nonnegative integer n with F0 equal to zero and F1 equal to one, return Fn iteratively.","def fibonacci_nth(result):
    entry = 0
    x = 1
    for element in range(result):
        entry, x = x, entry + x
    return entry",28,38,37,0,0.0,True,0.3084183782488548,0.03292795643210411,0.4797587828469594,11.411479995207628,0.3384533909493994,0.03295465558767319,0.5478230242353698,12.52277546512778,0.907610148191452,0.9947561621665955,0.9965398811005257,0.7567567567567568,0.5945945945945946,9,8,0.463547679357968,0.5165905589706704,0.8918918918918919,2.18692229040745
contains_target__nl__v1,contains_target,membership_test,nl,1,"Given a list of values and a target, determine whether the target occurs in the list.","Examine the values one by one. If the current value equals the target, return true immediately. If the scan finishes without a match, return false.",22,31,30,0,0.0,True,0.3966797494445927,0.174080029129982,0.4878102778218196,11.900392483337782,0.39904693132363417,0.17651529610157013,0.48967744438276606,11.971407939709025,0.8429236034552257,0.9676960110664368,0.9998085459073385,0.6666666666666666,0.3333333333333333,8,4,0.400800142091988,0.4030348427959011,0.9666666666666667,2.28174422621305
invert_unique_map__nl__v2,invert_unique_map,dictionary_transform,nl,2,"Given a dictionary whose values are unique, return a new dictionary mapping each original value to its original key.",Begin with an empty result dictionary. Inspect each key and value in the input and assign the original key under the original value in the result. Output the result.,25,33,32,0,0.0,True,0.42283903014595126,0.2322511523962021,0.49447843158881555,13.53084896467044,0.44089292396438395,0.23284335434436798,0.5502199902806573,14.108573566860287,0.8557417597621679,0.948878824710846,0.9973704610019922,0.65625,0.3125,5,2,0.5666954243619505,0.6009945143784036,0.90625,3.2390511864384166
moving_average_three__nl__v1,moving_average_three,sliding_window,nl,1,"Given a list of numbers, return the average of every consecutive window of three values.","Create an empty result list. For each starting index that leaves three values available, add those three values, divide by three, and append the average. Return the result.",21,34,33,0,0.0,True,0.6508151398915233,0.4927976131439209,0.5228507093470125,21.47689961642027,0.6968774907290936,0.5242250561714172,0.6082054443656085,22.996957194060087,0.7874509312889793,0.8704490065574646,0.9942704059860923,0.42424242424242425,0.06060606060606061,4,1,0.6258365218527615,0.7061663118656725,0.9696969696969697,2.5977616879496384
clamp_values__nl__v1,clamp_values,bounded_numeric_transform,nl,1,"Given a list of numbers and lower and upper bounds, clamp each value into the inclusive interval.","Create an empty result list. Examine each value. Replace values below the lower bound with the lower bound, values above the upper bound with the upper bound, and keep all others unchanged. Return the result.",23,42,41,0,0.0,True,0.4833392395944318,0.17908594012260437,0.5310481204388091,19.816908823371705,0.4972545890414483,0.17913950979709625,0.5532420993096705,20.38743815069938,0.8219652786487486,0.9596324563026428,0.9984633486445357,0.5609756097560976,0.36585365853658536,9,3,0.4962163217575835,0.5168191440115152,0.9512195121951219,1.855006091621404
bubble_sort_descending__python__v2,bubble_sort_descending,bubble_sort,python,2,"Given a list of numbers, sort it in descending order using bubble sort and return the sorted copy.","def bubble_sort_descending(output):
    current = output[:]
    for item in range(len(current) - 1, 0, -1):
        for value in range(item):
            if current[value] < current[value + 1]:
                current[value], current[value + 1] = current[value + 1], current[value]
    return current",24,72,71,0,0.0,True,0.1249608730631911,0.0039181942120194435,0.2728222454579217,8.872221987486569,0.1264816182879258,0.003941214643418789,0.27636036394508806,8.980194898442733,0.9502508052637879,0.9996318221092224,0.9998679832673408,0.8732394366197183,0.7746478873239436,52,21,0.15409949131812611,0.15652186292311723,0.9436619718309859,1.1563300654263224
