trajectory_id,program_id,task_id,family,variant,condition,task_text,reference_text,boundary_crossed,reference_start_token_index,token_count,analysis_token_count,trajectory_valid,mean_entropy_top20,median_entropy_top20,mean_entropy_valid_vocab,median_entropy_valid_vocab,semantic_step_balanced_entropy_top20,mean_p1,median_p1,mean_top20_mass,mean_reference_surprisal,median_reference_rank,fraction_p1_ge_090,fraction_p1_ge_099,step_mapped_token_fraction,boundary_overlap_token_fraction,unmapped_token_fraction
integer_to_binary__v1__nl_exp7_anchor,integer_to_binary__v1,integer_to_binary,base_conversion,1,nl_exp7_anchor,"Given a positive integer, return its binary representation as a string without a prefix.","Start with an empty digit list. Repeatedly append the remainder after division by two and divide the number by two. Reverse the collected digits, join them, and return the string.",False,26,39,38,True,1.1307559553809512,1.0586715936660767,1.3468864509394687,1.2693434953689575,,0.6343290225455636,0.6509160697460175,0.9687424176617673,2.0156147873552217,1.0,0.23684210526315788,0.05263157894736842,,,
gcd_two__v2__nl_exp7_anchor,gcd_two__v2,gcd_two,gcd_family,2,nl_exp7_anchor,"Given two nonnegative integers, compute their greatest common divisor using the Euclidean algorithm.","While the second value is not zero, replace the pair with the second value and the remainder of the first divided by the second. Output the first value when the second becomes zero.",False,31,36,35,True,1.004123862619911,1.021458625793457,1.1536927992744106,1.11415696144104,,0.7079784640244076,0.7457064986228943,0.9788171461650303,0.9746560883708298,1.0,0.22857142857142856,0.05714285714285714,,,
keep_letters__v3__nl_exp7_anchor,keep_letters__v3,keep_letters,string_filter,3,nl_exp7_anchor,"Given a string, return a new string containing only alphabetic characters.","Initialize with an empty result string. Process each character. If it is alphabetic, append it to the result. Produce the result.",False,26,30,29,True,0.8742147450544069,0.880926251411438,0.9680199802467793,0.9735175371170044,,0.6933001043467686,0.7626262307167053,0.9894712772862665,1.5445885455862074,1.0,0.27586206896551724,0.10344827586206896,,,
running_product__v1__python_opaque,running_product__v1,running_product,cumulative_scan,1,python_opaque,"Given a list of numbers, produce the running product after each position.","def zav0(mip0):
    tuk0 = 1
    qel0 = []
    for vor0 in mip0:
        tuk0 *= vor0
        qel0.append(tuk0)
    return qel0",False,24,60,59,True,0.694913045928411,0.2015719711780548,1.0524411689651878,0.22687287628650665,0.8804113203818834,0.7848587788136329,0.9544824361801147,0.9443799661377729,1.6228697138175432,1.0,0.6101694915254238,0.3389830508474576,1.0,0.0,0.0
remove_digits__v3__procedural_prose,remove_digits__v3,remove_digits,string_filter,3,procedural_prose,"Given a string, return a new string with all decimal digits removed.","Define a procedure named remove_digits that receives x.
Set entry to ''.
For each element in x, do the following.
    If not element.isdigit(), do the following.
        Increase entry by element.
Return entry.",False,25,56,55,True,1.0054534199901604,0.932776689529419,1.232540001347661,1.0787028074264526,1.111098812022074,0.6810788891532205,0.7464520931243896,0.9687254125421697,1.8879411784297024,1.0,0.2909090909090909,0.07272727272727272,1.0,0.0,0.0
partition_by_threshold__v3__nl_exp7_anchor,partition_by_threshold__v3,partition_by_threshold,partition,3,nl_exp7_anchor,"Given a list of numbers and a threshold, return two lists: values below the threshold and values at least the threshold, preserving order.",Initialize two empty result lists. Process each number and append it to the below-threshold list or the other list according to the comparison. Produce both lists.,False,38,32,31,True,1.0740541410782645,1.1278843879699707,1.1793172352256314,1.243634581565857,,0.6635309486619888,0.638077437877655,0.987609282616646,2.2762438760649775,1.0,0.1935483870967742,0.06451612903225806,,,
rotate_left_one__v1__python_opaque,rotate_left_one__v1,rotate_left_one,rotation,1,python_opaque,"Given a non-empty list, rotate it left by one position.","def zav0(mip0):
    tuk0 = []
    for qel0 in mip0[1:]:
        tuk0.append(qel0)
    tuk0.append(mip0[0])
    return tuk0",False,25,62,61,True,0.6089062276642224,0.20099686086177826,0.873538047147077,0.23531636595726013,0.8643290240077564,0.8152490204474965,0.9618589282035828,0.9604311409543772,1.4926413971280736,1.0,0.6229508196721312,0.3770491803278688,1.0,0.0,0.0
binary_search_exact__v2__controlled_nl,binary_search_exact__v2,binary_search_exact,binary_search,2,controlled_nl,"Given an ascending sorted list and a target value, return the target index or minus one if absent.","PROCEDURE binary_search_exact INPUT counter, output:
SET value TO 0.
SET item TO (len(counter) - 1).
WHILE value <= item:
    SET current TO ((value + item) // 2).
    IF counter[current] = output:
        RETURN current
    IF counter[current] < output:
        SET value TO (current + 1).
    ELSE
        SET item TO (current - 1).
RETURN -1",False,32,111,110,True,0.6830853225314059,0.3300040364265442,0.9080789393893528,0.4112922102212906,0.6666954490606617,0.7740627997300842,0.9265806972980499,0.9655499452894384,1.3594880009003893,1.0,0.5454545454545454,0.2818181818181818,0.9636363636363636,0.0,0.03636363636363636
least_frequent__v3__controlled_nl,least_frequent__v3,least_frequent,mode_selection,3,controlled_nl,"Given a non-empty list, return a value with the lowest occurrence count, choosing the first such value on ties.","PROCEDURE least_frequent INPUT result:
SET entry TO {}.
FOR EACH x IN result:
    SET entry[x] TO (entry.get(x, 0) + 1).
SET element TO result[0].
FOR EACH x IN result:
    IF entry[x] < entry[element]:
        SET element TO x.
RETURN element",False,35,86,85,True,0.8243088646620677,0.4608995318412781,1.1610972657967495,0.6411454677581787,0.9608985657744787,0.7365525031352744,0.8851634860038757,0.9482096507268793,1.3340253624555343,1.0,0.4823529411764706,0.18823529411764706,1.0,0.0,0.0
moving_average_three__v3__python_canonical,moving_average_three__v3,moving_average_three,sliding_window,3,python_canonical,"Given a list of numbers, return the average of every consecutive window of three values.","def moving_average_three(result):
    x = []
    for entry in range(len(result) - 2):
        element = (result[entry] + result[entry + 1] + result[entry + 2]) / 3
        x.append(element)
    return x",False,27,70,69,True,0.4608285980572438,0.12344864755868912,0.5344131035085741,0.12839187681674957,0.8883126115395007,0.8526302461606868,0.979420006275177,0.9894799486450527,0.775962119771514,1.0,0.6231884057971014,0.4057971014492754,1.0,0.0,0.0
