task_id,family,variant,condition,task_text,reference_text,source_python,opaque_mapping,semantic_step_count,validation_flags
sum_positive,sign_sum,1,nl_exp7_anchor,"Given a list of numbers, sum only the positive values.","Start the total at zero. Examine every number. Whenever a number is greater than zero, add it to the total. Return the total after the list has been processed.","def sum_positive(values):
    total = 0
    for value in values:
        if value > 0:
            total += value
    return total",null,0,pending_human_review
sum_positive,sign_sum,1,procedural_prose,"Given a list of numbers, sum only the positive values.","Define a procedure named sum_positive that receives values.
Set total to 0.
For each value in values, do the following.
    If value is greater than 0, do the following.
        Increase total by value.
Return total.","def sum_positive(values):
    total = 0
    for value in values:
        if value > 0:
            total += value
    return total",null,6,pending_human_review
sum_positive,sign_sum,1,controlled_nl,"Given a list of numbers, sum only the positive values.","PROCEDURE sum_positive INPUT values:
SET total TO 0.
FOR EACH value IN values:
    IF value > 0:
        UPDATE total USING + value.
RETURN total","def sum_positive(values):
    total = 0
    for value in values:
        if value > 0:
            total += value
    return total",null,6,pending_human_review
sum_positive,sign_sum,1,pseudocode,"Given a list of numbers, sum only the positive values.","PROCEDURE sum_positive(values)
total <- 0
FOR value IN values
    IF value > 0
        total <- total + value
RETURN total","def sum_positive(values):
    total = 0
    for value in values:
        if value > 0:
            total += value
    return total",null,6,pending_human_review
sum_positive,sign_sum,1,python_canonical,"Given a list of numbers, sum only the positive values.","def sum_positive(values):
    total = 0
    for value in values:
        if value > 0:
            total += value
    return total","def sum_positive(values):
    total = 0
    for value in values:
        if value > 0:
            total += value
    return total",null,6,pending_human_review
sum_positive,sign_sum,1,python_opaque,"Given a list of numbers, sum only the positive values.","def zav0(mip0):
    tuk0 = 0
    for qel0 in mip0:
        if qel0 > 0:
            tuk0 += qel0
    return tuk0","def sum_positive(values):
    total = 0
    for value in values:
        if value > 0:
            total += value
    return total","{""sum_positive"": ""zav0"", ""values"": ""mip0"", ""total"": ""tuk0"", ""value"": ""qel0""}",6,pending_human_review
sum_positive,sign_sum,2,nl_exp7_anchor,"Given a list of numbers, sum only the positive values.","Begin the total at zero. Inspect every number. If a number is greater than zero, add it to the total. Output the total after the list has been processed.","def sum_positive(current):
    item = 0
    for value in current:
        if value > 0:
            item += value
    return item",null,0,pending_human_review
sum_positive,sign_sum,2,procedural_prose,"Given a list of numbers, sum only the positive values.","Define a procedure named sum_positive that receives current.
Set item to 0.
For each value in current, do the following.
    If value is greater than 0, do the following.
        Increase item by value.
Return item.","def sum_positive(current):
    item = 0
    for value in current:
        if value > 0:
            item += value
    return item",null,6,pending_human_review
sum_positive,sign_sum,2,controlled_nl,"Given a list of numbers, sum only the positive values.","PROCEDURE sum_positive INPUT current:
SET item TO 0.
FOR EACH value IN current:
    IF value > 0:
        UPDATE item USING + value.
RETURN item","def sum_positive(current):
    item = 0
    for value in current:
        if value > 0:
            item += value
    return item",null,6,pending_human_review
sum_positive,sign_sum,2,pseudocode,"Given a list of numbers, sum only the positive values.","PROCEDURE sum_positive(current)
item <- 0
FOR value IN current
    IF value > 0
        item <- item + value
RETURN item","def sum_positive(current):
    item = 0
    for value in current:
        if value > 0:
            item += value
    return item",null,6,pending_human_review
sum_positive,sign_sum,2,python_canonical,"Given a list of numbers, sum only the positive values.","def sum_positive(current):
    item = 0
    for value in current:
        if value > 0:
            item += value
    return item","def sum_positive(current):
    item = 0
    for value in current:
        if value > 0:
            item += value
    return item",null,6,pending_human_review
