trajectory_id,program_id,task_id,family,variant,condition,task_text,reference_text,boundary_crossed,reference_start_token_index,token_count,analysis_token_count,trajectory_valid,mean_entropy_top20,median_entropy_top20,mean_entropy_valid_vocab,median_entropy_valid_vocab,semantic_step_balanced_entropy_top20,mean_p1,median_p1,mean_top20_mass,mean_reference_surprisal,median_reference_rank,fraction_p1_ge_090,fraction_p1_ge_099,step_mapped_token_fraction,boundary_overlap_token_fraction,unmapped_token_fraction
integer_to_binary__v1__nl_exp7_anchor,integer_to_binary__v1,integer_to_binary,base_conversion,1,nl_exp7_anchor,"Given a positive integer, return its binary representation as a string without a prefix.","Start with an empty digit list. Repeatedly append the remainder after division by two and divide the number by two. Reverse the collected digits, join them, and return the string.",False,26,39,38,True,1.0667736015870775,0.9151493310928345,1.2427782231304598,1.021690309047699,,0.6550471370941714,0.72890904545784,0.976002972376974,1.5292618851082425,1.0,0.21052631578947367,0.07894736842105263,,,
gcd_two__v2__nl_exp7_anchor,gcd_two__v2,gcd_two,gcd_family,2,nl_exp7_anchor,"Given two nonnegative integers, compute their greatest common divisor using the Euclidean algorithm.","While the second value is not zero, replace the pair with the second value and the remainder of the first divided by the second. Output the first value when the second becomes zero.",False,28,37,36,True,1.061523785090281,0.8817201554775238,1.326585072092712,0.954459935426712,,0.6668479359812207,0.7604614198207855,0.9601012070973715,1.3503702132535789,1.0,0.3333333333333333,0.05555555555555555,,,
keep_letters__v3__nl_exp7_anchor,keep_letters__v3,keep_letters,string_filter,3,nl_exp7_anchor,"Given a string, return a new string containing only alphabetic characters.","Initialize with an empty result string. Process each character. If it is alphabetic, append it to the result. Produce the result.",False,26,31,30,True,0.6950159088165189,0.6456160843372345,0.8181871972900505,0.6953338980674744,,0.7720310966173808,0.8287240862846375,0.9841453055540721,1.578868764010258,1.0,0.36666666666666664,0.2,,,
running_product__v1__python_opaque,running_product__v1,running_product,cumulative_scan,1,python_opaque,"Given a list of numbers, produce the running product after each position.","def zav0(mip0):
    tuk0 = 1
    qel0 = []
    for vor0 in mip0:
        tuk0 *= vor0
        qel0.append(tuk0)
    return qel0",False,24,61,60,True,0.6339428206954228,0.10515990480780602,0.9615580028956174,0.1285892128944397,0.9287625547256922,0.7983427364379168,0.9820434153079987,0.9426329960425694,1.7469666586355137,1.0,0.6666666666666666,0.4166666666666667,1.0,0.0,0.0
remove_digits__v3__procedural_prose,remove_digits__v3,remove_digits,string_filter,3,procedural_prose,"Given a string, return a new string with all decimal digits removed.","Define a procedure named remove_digits that receives x.
Set entry to ''.
For each element in x, do the following.
    If not element.isdigit(), do the following.
        Increase entry by element.
Return entry.",False,24,56,55,True,0.743548302990596,0.6296040415763855,0.8455920004967827,0.6403013467788696,0.9419825480659104,0.7642727345228195,0.8345838785171509,0.9868666388771751,1.7028640414036338,1.0,0.43636363636363634,0.16363636363636364,1.0,0.0,0.0
partition_by_threshold__v3__nl_exp7_anchor,partition_by_threshold__v3,partition_by_threshold,partition,3,nl_exp7_anchor,"Given a list of numbers and a threshold, return two lists: values below the threshold and values at least the threshold, preserving order.",Initialize two empty result lists. Process each number and append it to the below-threshold list or the other list according to the comparison. Produce both lists.,False,38,34,33,True,0.8601165632928975,0.8046214580535889,0.9518027719618245,0.8514569401741028,,0.7205938173062874,0.7342674732208252,0.9883750785480846,2.1381209345312198,1.0,0.30303030303030304,0.15151515151515152,,,
rotate_left_one__v1__python_opaque,rotate_left_one__v1,rotate_left_one,rotation,1,python_opaque,"Given a non-empty list, rotate it left by one position.","def zav0(mip0):
    tuk0 = []
    for qel0 in mip0[1:]:
        tuk0.append(qel0)
    tuk0.append(mip0[0])
    return tuk0",False,24,62,61,True,0.5508626675043354,0.12387338280677795,0.7914486992467274,0.14458203315734863,0.7625590843804251,0.8275033799839802,0.979041337966919,0.9617913961410522,1.6162204217049054,1.0,0.6721311475409836,0.39344262295081966,1.0,0.0,0.0
binary_search_exact__v2__controlled_nl,binary_search_exact__v2,binary_search_exact,binary_search,2,controlled_nl,"Given an ascending sorted list and a target value, return the target index or minus one if absent.","PROCEDURE binary_search_exact INPUT counter, output:
SET value TO 0.
SET item TO (len(counter) - 1).
WHILE value <= item:
    SET current TO ((value + item) // 2).
    IF counter[current] = output:
        RETURN current
    IF counter[current] < output:
        SET value TO (current + 1).
    ELSE
        SET item TO (current - 1).
RETURN -1",False,31,114,113,True,0.5736726007396736,0.3036975562572479,0.7267887922591351,0.37686705589294434,0.5929709084033173,0.81415574246012,0.9375731945037842,0.979336619904611,1.1488015763228099,1.0,0.5752212389380531,0.3185840707964602,0.9827586206896551,0.0,0.017241379310344827
least_frequent__v3__controlled_nl,least_frequent__v3,least_frequent,mode_selection,3,controlled_nl,"Given a non-empty list, return a value with the lowest occurrence count, choosing the first such value on ties.","PROCEDURE least_frequent INPUT result:
SET entry TO {}.
FOR EACH x IN result:
    SET entry[x] TO (entry.get(x, 0) + 1).
SET element TO result[0].
FOR EACH x IN result:
    IF entry[x] < entry[element]:
        SET element TO x.
RETURN element",False,35,90,89,True,0.7618393633001892,0.37272006273269653,0.9962585363911499,0.4998433589935303,0.8618858522494596,0.7521586215563034,0.9175387024879456,0.964974649166793,1.1996200948048548,1.0,0.5056179775280899,0.25842696629213485,1.0,0.0,0.0
moving_average_three__v3__python_canonical,moving_average_three__v3,moving_average_three,sliding_window,3,python_canonical,"Given a list of numbers, return the average of every consecutive window of three values.","def moving_average_three(result):
    x = []
    for entry in range(len(result) - 2):
        element = (result[entry] + result[entry + 1] + result[entry + 2]) / 3
        x.append(element)
    return x",False,27,70,69,True,0.398265886798744,0.1040661409497261,0.4500142509367425,0.10648070275783539,0.7980310541472309,0.8708667271379111,0.982262134552002,0.9925692383793817,0.7022879792383047,1.0,0.7246376811594203,0.42028985507246375,1.0,0.0,0.0
