trajectory_id,task_id,family,representation,variant,task_text,reference_solution,alignment_method,boundary_crossed,reference_start_token_index,base_token_count_metadata,token_count,analysis_token_count,trajectory_valid,mean_entropy_top20,median_entropy_top20,std_entropy_top20,cumulative_entropy_top20,mean_entropy_valid_vocab,median_entropy_valid_vocab,std_entropy_valid_vocab,cumulative_entropy_valid_vocab,mean_p1,median_p1,mean_top20_mass,fraction_p1_ge_090,fraction_p1_ge_099,longest_run_p1_ge_090,longest_run_p1_ge_099,mean_abs_entropy_change_top20,mean_abs_entropy_change_valid_vocab,reference_in_top20_fraction,mean_reference_surprisal
binary_search_exact__python__v2,binary_search_exact,binary_search,python,2,"Given an ascending sorted list and a target value, return the target index or minus one if absent.","def binary_search_exact(counter, output):
    value = 0
    item = len(counter) - 1
    while value <= item:
        current = (value + item) // 2
        if counter[current] == output:
            return current
        if counter[current] < output:
            value = current + 1
        else:
            item = current - 1
    return -1",fast_offsets,False,32,32,97,96,True,0.46929229885002616,0.1294678896665573,0.6641413275280446,45.05206068960251,0.5654081258411073,0.1306443065404892,0.8956053712898685,54.2791800807463,0.8511941996403039,0.9785254001617432,0.9850553615639607,0.625,0.4166666666666667,10,5,0.5061351042571722,0.6629775630579772,0.9479166666666666,0.8034666129218712
partition_by_sign__nl__v2,partition_by_sign,partition,nl,2,"Given a list of numbers, return two lists: negative values first and nonnegative values second, preserving input order within each group.",Build an empty negative list and an empty nonnegative list. Inspect each number and add it to the appropriate list according to its sign. Output both lists.,fast_offsets,False,37,37,32,31,True,0.982840396463871,1.1723544597625732,0.5655242507690381,30.46805229038,1.1349440983706904,1.276373028755188,0.6811744716681961,35.183267049491405,0.7055596055523041,0.6968246102333069,0.9814200805079553,0.22580645161290322,0.03225806451612903,1,1,0.6565563922127088,0.7565570597847303,0.967741935483871,1.3600493322216696
gcd_two__nl__v2,gcd_two,gcd_family,nl,2,"Given two nonnegative integers, compute their greatest common divisor using the Euclidean algorithm.","While the second value is not zero, replace the pair with the second value and the remainder of the first divided by the second. Output the first value when the second becomes zero.",fast_offsets,False,31,31,36,35,True,1.0040709135787829,1.0155558586120605,0.6360503821871569,35.1424819752574,1.153390857577324,1.1079825162887573,0.7960067761123215,40.36868001520634,0.7077423751354217,0.7455576658248901,0.9788640243666512,0.2,0.05714285714285714,3,1,0.6483326773433125,0.7440391559811199,0.9714285714285714,0.9770234266162983
is_subset__python__v3,is_subset,set_relation,python,3,"Given two collections, determine whether every value in the first collection occurs in the second.","def is_subset(element, entry):
    for x in element:
        if x not in entry:
            return False
    return True",fast_offsets,False,27,27,32,31,True,0.6350218932700133,0.13633885979652405,0.8629514559605357,19.685678691370413,0.7981484227948973,0.14140471816062927,1.167634773495452,24.742601106641814,0.8078368762808461,0.9785786271095276,0.9744528993483512,0.6451612903225806,0.3870967741935484,12,4,0.5424064088768016,0.7358765095006674,0.9354838709677419,1.1411376287651365
matrix_find_position__nl__v2,matrix_find_position,matrix_search,nl,2,"Given a matrix and a target value, return the row and column of the first occurrence in row-major order, or minus one for both if absent.","Scan rows from top to bottom and columns from left to right. If a value equals the target, output its row and column indices. If no match exists, output minus one for both indices.",fast_offsets,False,43,43,40,39,True,1.0168498507103858,1.0589768886566162,0.7644538949534397,39.65714417770505,1.1808738703242478,1.1010069847106934,0.9447373771412001,46.05408094264567,0.6667715188784477,0.6739152073860168,0.9760756370348808,0.358974358974359,0.10256410256410256,4,2,0.669608480346046,0.8112465698075922,0.9743589743589743,1.2280918194984014
fibonacci_nth__python__v3,fibonacci_nth,fibonacci,python,3,"Given a nonnegative integer n with F0 equal to zero and F1 equal to one, return Fn iteratively.","def fibonacci_nth(result):
    entry = 0
    x = 1
    for element in range(result):
        entry, x = x, entry + x
    return entry",fast_offsets,False,35,35,46,45,True,0.6484899775435528,0.4682527482509613,0.6742817428342104,29.182048989459872,0.7593057426934441,0.47887516021728516,0.8834596395213908,34.168758421204984,0.7924789153867298,0.8930312395095825,0.9835459921095107,0.4888888888888889,0.2,4,2,0.6616055517542091,0.8195833455009217,0.9111111111111111,1.3632065654214887
contains_target__nl__v1,contains_target,membership_test,nl,1,"Given a list of values and a target, determine whether the target occurs in the list.","Examine the values one by one. If the current value equals the target, return true immediately. If the scan finishes without a match, return false.",fast_offsets,False,28,28,32,31,True,0.8649330137132276,1.0519297122955322,0.6467236158945786,26.812923425110057,0.9330125789471616,1.1015894412994385,0.6960243715116154,28.92338994736201,0.7209646615289873,0.7153406739234924,0.992262726829898,0.3870967741935484,0.16129032258064516,5,2,0.5734473774054398,0.5991556995645321,1.0,0.9920318452964678
invert_unique_map__nl__v2,invert_unique_map,dictionary_transform,nl,2,"Given a dictionary whose values are unique, return a new dictionary mapping each original value to its original key.",Begin with an empty result dictionary. Inspect each key and value in the input and assign the original key under the original value in the result. Output the result.,fast_offsets,False,31,31,33,32,True,0.867198255029507,0.8713220357894897,0.5467288208920066,27.750344160944223,0.9807460950687528,0.9069063365459442,0.637465081637715,31.38387504220009,0.7313083121553063,0.7519739866256714,0.9867242723703384,0.25,0.03125,1,1,0.7600543458134897,0.8800025313131271,0.9375,1.898728227330139
moving_average_three__nl__v1,moving_average_three,sliding_window,nl,1,"Given a list of numbers, return the average of every consecutive window of three values.","Create an empty result list. For each starting index that leaves three values available, add those three values, divide by three, and append the average. Return the result.",fast_offsets,False,27,27,34,33,True,1.1508367626052913,0.8093883991241455,0.7234357717423555,37.97761316597462,1.323694848653042,0.8150844573974609,0.8782815049911066,43.681930005550385,0.6395144110376184,0.7356024384498596,0.9753380724878022,0.12121212121212122,0.0,1,0,0.6839621374383569,0.828303873538971,1.0,1.767224886087757
clamp_values__nl__v1,clamp_values,bounded_numeric_transform,nl,1,"Given a list of numbers and lower and upper bounds, clamp each value into the inclusive interval.","Create an empty result list. Examine each value. Replace values below the lower bound with the lower bound, values above the upper bound with the upper bound, and keep all others unchanged. Return the result.",fast_offsets,False,30,30,44,43,True,0.7147500676990941,0.5093920230865479,0.6189856948745359,30.73425291106105,0.7965204628227756,0.5513739585876465,0.7188969276676813,34.25037990137935,0.7742315911969473,0.8767969012260437,0.989836874396302,0.4883720930232558,0.16279069767441862,8,3,0.5163560133604777,0.5936975292861462,0.9767441860465116,1.268648312741154
